Palabra clave de búsqueda
1 de abril de 2026 - 9 de abril de 2026
Palabra clave de búsqueda,Estado de las palabras clave de búsqueda,Motivos del estado de las palabras clave de búsqueda,Tipo de concordancia de palabra clave de búsqueda,Campaña,Grupo de anuncios,Código de moneda,CPC máximo de palabras clave,Clics,Impr.,CTR,CPC medio,Coste,% de impr. (parte sup. abs.),% de impr. (parte sup.),Conversiones,Conv. post-impresión,Coste/conv.,Tasa de conv.,CPM medio
tienda de juguetes,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",94,948,"9,92%","0,15","13,78","29,20%","82,44%","0,00",0,0,"0,00%","14,54"
juegos de mesa adultos,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Juegos de caja,USD,"0,01",93,1.192,"7,80%","0,14","12,80","35,97%","73,89%","0,00",0,0,"0,00%","10,74"
mosca libros,Apto,,Concordancia amplia,Search | Brand (CONV),Institucional,USD,"0,01",84,205,"40,98%","0,11","9,05","90,76%","92,44%","0,00",0,0,"0,00%","44,16"
la papelaria,Apto,,Concordancia amplia,Search | Brand | La papelaria,La papelaria,USD,"0,01",70,179,"39,11%","0,04","2,65","93,33%","94,29%","0,00",0,0,"0,00%","14,81"
juegos de mesa,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Juegos de caja,USD,"0,01",69,1.093,"6,31%","0,13","8,68","32,00%","72,31%","0,00",0,0,"0,00%","7,94"
accesorios bebe,Apto,,Concordancia amplia,Search | Primera infancia,Alimentación / Descanso,USD,"0,01",68,1.265,"5,38%","0,17","11,80","21,92%","77,28%","0,00",0,0,"0,00%","9,33"
agendas,Apto,,Concordancia amplia,Search | Brand | La papelaria,La papelaria,USD,"0,01",66,396,"16,67%","0,15","9,68","50,56%","73,61%","1,00",0,"9,68","1,52%","24,45"
articulos de oficina,Apto,,Concordancia amplia,Search | Brand | La papelaria,La papelaria,USD,"0,01",47,572,"8,22%","0,16","7,58","32,80%","67,46%","0,00",0,0,"0,00%","13,26"
juegos de estrategia,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Juegos de caja,USD,"0,01",46,576,"7,99%","0,15","6,70","35,29%","72,27%","0,00",0,0,"0,00%","11,62"
papelaria,Apto,,Concordancia amplia,Search | Brand | La papelaria,La papelaria,USD,"0,01",46,485,"9,48%","0,08","3,90","36,44%","76,89%","0,00",0,0,"0,00%","8,03"
tienda de arte,Apto,,Concordancia amplia,Search | Genérica | Arte,Pinturas (acrílico y óleo),USD,"0,01",40,630,"6,35%","0,20","7,85","50,00%","73,35%","0,00",0,0,"0,00%","12,45"
lápices de colores,Apto,,Concordancia amplia,Search | Genérica | Arte,Dibujo / Marcadores,USD,"0,01",33,434,"7,60%","0,36","12,03","46,67%","63,53%","0,00",0,0,"0,00%","27,72"
electrónicos,Apto,,Concordancia amplia,Search | Genérico | Tecnología,Accesorios,USD,"0,01",32,417,"7,67%","0,14","4,45","13,71%","79,03%","0,00",0,0,"0,00%","10,66"
artículos de oficina y papelería,Apto,,Concordancia amplia,Search | Brand | La papelaria,La papelaria,USD,"0,01",29,458,"6,33%","0,11","3,25","35,85%","67,45%","0,00",0,0,"0,00%","7,09"
pinceles,Apto,,Concordancia amplia,Search | Genérica | Arte,Pinceles,USD,"0,01",28,272,"10,29%","0,20","5,64","40,76%","68,48%","0,00",0,0,"0,00%","20,73"
accesorios gamer,Apto,,Concordancia amplia,Search | Genérico | Tecnología,Gaming,USD,"0,01",22,333,"6,61%","0,11","2,46","20,38%","72,61%","0,00",0,0,"0,00%","7,39"
pintura para tela,Apto,,Concordancia amplia,Search | Genérica | Arte,Pinturas (acrílico y óleo),USD,"0,01",21,228,"9,21%","0,15","3,16","52,41%","68,97%","0,00",0,0,"0,00%","13,86"
juguetes dinosaurios,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Personajes - Jurassic World,USD,"0,01",21,358,"5,87%","0,20","4,25","40,59%","76,24%","0,00",0,0,"0,00%","11,86"
ropa barbie,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Personajes - Barbie,USD,"0,01",21,142,"14,79%","0,22","4,65","47,83%","66,30%","0,00",0,0,"0,00%","32,74"
acuarelas,Apto,,Concordancia amplia,Search | Genérica | Arte,Pinturas (acrílico y óleo),USD,"0,01",19,293,"6,48%","0,27","5,20","53,96%","71,22%","0,00",0,0,"0,00%","17,76"
supermercado juguete,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",18,213,"8,45%","0,14","2,49","37,50%","79,69%","0,00",0,0,"0,00%","11,71"
caballete,Apto,,Concordancia amplia,Search | Genérica | Arte,Soportes / Caballetes,USD,"0,01",16,151,"10,60%","0,31","5,01","51,52%","76,77%","1,00",0,"5,01","6,25%","33,18"
playstation 5,Apto,,Concordancia amplia,Search | Genérico | Tecnología,Gaming,USD,"0,01",16,207,"7,73%","0,12","2,00","25,00%","81,25%","0,00",0,0,"0,00%","9,66"
impresora,Apto,,Concordancia amplia,Search | Genérico | Tecnología,Impresion,USD,"0,01",16,181,"8,84%","0,16","2,64","7,22%","59,79%","0,00",0,0,"0,00%","14,56"
tablet,Apto,,Concordancia amplia,Search | Genérico | Tecnología,Notebooks y laptops,USD,"0,01",15,214,"7,01%","0,17","2,57","7,75%","55,63%","0,00",0,0,"0,00%","12,00"
mosca tienda online,Apto,,Concordancia amplia,Search | Brand (CONV),Institucional,USD,"0,01",14,70,"20,00%","0,27","3,79","95,45%","95,45%","0,00",0,0,"0,00%","54,19"
catalogo juguetes,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",13,245,"5,31%","0,20","2,62","31,58%","78,20%","0,00",0,0,"0,00%","10,70"
peluche pokemon,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Personajes - Pokémon,USD,"0,01",11,91,"12,09%","0,13","1,41","28,30%","71,70%","0,00",0,0,"0,00%","15,47"
juguetes didacticos bebes,Apto,,Concordancia amplia,Search | Primera infancia,Estimulación,USD,"0,01",11,131,"8,40%","0,15","1,65","35,21%","78,87%","0,00",0,0,"0,00%","12,60"
juegos didácticos,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Juegos de caja,USD,"0,01",10,256,"3,91%","0,25","2,47","33,57%","79,02%","0,00",0,0,"0,00%","9,63"
playstation,Apto,,Concordancia amplia,Search | Genérico | Tecnología,Gaming,USD,"0,01",10,133,"7,52%","0,10","1,03","17,39%","56,52%","0,00",0,0,"0,00%","7,71"
tienda de juegos didacticos,Apto,,Concordancia amplia,Search | Genérica | Arte,Set / Kits de arte,USD,"0,01",10,91,"10,99%","0,36","3,61","47,37%","70,18%","0,00",0,0,"0,00%","39,67"
lienzo para pintar,Apto,,Concordancia amplia,Search | Genérica | Arte,Pinturas (acrílico y óleo),USD,"0,01",9,63,"14,29%","0,20","1,76","62,16%","78,38%","0,00",0,0,"0,00%","27,87"
kit de pintura y dibujo,Apto,,Concordancia amplia,Search | Genérica | Arte,Pinturas (acrílico y óleo),USD,"0,01",9,106,"8,49%","0,33","2,95","60,32%","84,13%","0,00",0,0,"0,00%","27,80"
muñeca gabby,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Personajes Gabby Dollhouse,USD,"0,01",9,181,"4,97%","0,33","3,00","54,90%","76,47%","0,00",0,0,"0,00%","16,55"
figuras pokemon,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Personajes - Pokémon,USD,"0,01",8,80,"10,00%","0,23","1,83","41,03%","82,05%","0,00",0,0,"0,00%","22,84"
kit para pintar,Apto,,Concordancia amplia,Search | Genérica | Arte,Pinturas (acrílico y óleo),USD,"0,01",7,66,"10,61%","0,17","1,22","40,00%","77,50%","0,00",0,0,"0,00%","18,55"
arte pintura dibujo,Apto,,Concordancia amplia,Search | Genérica | Arte,Pinturas (acrílico y óleo),USD,"0,01",7,141,"4,96%","0,25","1,73","43,90%","70,73%","0,00",0,0,"0,00%","12,25"
ipad,Apto,,Concordancia amplia,Search | Genérico | Tecnología,Notebooks y laptops,USD,"0,01",7,110,"6,36%","0,13","0,88","10,42%","39,58%","0,00",0,0,"0,00%","7,97"
gabby dollhouse juguetes,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Personajes Gabby Dollhouse,USD,"0,01",7,60,"11,67%","0,18","1,25","40,38%","75,00%","0,00",0,0,"0,00%","20,83"
figura batman,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Personajes - DC Comics,USD,"0,01",7,67,"10,45%","0,21","1,47","46,43%","75,00%","0,00",0,0,"0,00%","21,87"
juguetes batman,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Personajes - DC Comics,USD,"0,01",7,107,"6,54%","0,13","0,94","40,00%","72,00%","0,00",0,0,"0,00%","8,77"
comprar material de oficina,Apto,,Concordancia amplia,Search | Brand | La papelaria,La papelaria,USD,"0,01",7,127,"5,51%","0,14","0,99","38,57%","74,29%","0,00",0,0,"0,00%","7,83"
insumos impresora,Apto,,Concordancia amplia,Search | Genérico | Tecnología,Impresion,USD,"0,01",7,81,"8,64%","0,45","3,12","24,00%","56,00%","0,00",0,0,"0,00%","38,46"
muñecas princesas disney,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Personajes - Disney,USD,"0,01",7,144,"4,86%","0,26","1,79","34,92%","76,19%","0,00",0,0,"0,00%","12,40"
set de dibujo y pintura,Apto,,Concordancia amplia,Search | Genérica | Arte,Pinturas (acrílico y óleo),USD,"0,01",6,102,"5,88%","0,25","1,51","64,29%","76,79%","0,00",0,0,"0,00%","14,82"
kit para dibujar y pintar,Apto,,Concordancia amplia,Search | Genérica | Arte,Pinturas (acrílico y óleo),USD,"0,01",6,65,"9,23%","0,22","1,35","48,78%","65,85%","0,00",0,0,"0,00%","20,71"
laptop,Apto,,Concordancia amplia,Search | Genérico | Tecnología,Notebooks y laptops,USD,"0,01",6,120,"5,00%","0,09","0,54","8,33%","70,00%","0,00",0,0,"0,00%","4,49"
stitch peluche,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Personajes - Stitch,USD,"0,01",6,139,"4,32%","0,11","0,63","20,55%","80,82%","0,00",0,0,"0,00%","4,56"
barbie juguetes,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Personajes - Barbie,USD,"0,01",6,45,"13,33%","0,22","1,34","50,00%","73,53%","0,00",0,0,"0,00%","29,78"
muñecas barbie,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Personajes - Barbie,USD,"0,01",6,114,"5,26%","0,18","1,07","65,38%","88,46%","0,00",0,0,"0,00%","9,43"
la papelaria uruguay,Apto,,Concordancia amplia,Search | Brand | La papelaria,La papelaria,USD,"0,01",6,17,"35,29%","0,14","0,83","90,00%","90,00%","1,00",0,"0,83","16,67%","48,82"
materiales de dibujo,Apto,,Concordancia amplia,Search | Genérica | Arte,Dibujo / Marcadores,USD,"0,01",6,82,"7,32%","0,37","2,24","42,50%","65,00%","0,00",0,0,"0,00%","27,31"
cartuchos tinta,Apto,,Concordancia amplia,Search | Genérico | Tecnología,Impresion,USD,"0,01",6,75,"8,00%","0,09","0,55","3,57%","78,57%","0,00",0,0,"0,00%","7,33"
caballete pintura,Apto,,Concordancia amplia,Search | Genérica | Arte,Soportes / Caballetes,USD,"0,01",5,84,"5,95%","0,18","0,89","50,00%","82,14%","0,00",0,0,"0,00%","10,63"
juguetes para niños 2 años,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",5,106,"4,72%","0,13","0,65","25,81%","90,32%","0,00",0,0,"0,00%","6,11"
mi jugueteria,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",5,124,"4,03%","0,28","1,40","29,41%","78,43%","0,00",0,0,"0,00%","11,27"
lego minecraft,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Personajes - Minecraft,USD,"0,01",5,43,"11,63%","0,29","1,46","42,11%","84,21%","0,00",0,0,"0,00%","33,92"
kit de dibujo,Apto,,Concordancia amplia,Search | Genérica | Arte,Pinturas (acrílico y óleo),USD,"0,01",5,114,"4,39%","0,12","0,59","47,89%","73,24%","0,00",0,0,"0,00%","5,14"
pinturas acrílicas,Apto,,Concordancia amplia,Search | Genérica | Arte,Pinturas (acrílico y óleo),USD,"0,01",5,92,"5,43%","0,26","1,28","51,06%","70,21%","0,00",0,0,"0,00%","13,92"
set de pinturas para dibujar,Apto,,Concordancia amplia,Search | Genérica | Arte,Pinturas (acrílico y óleo),USD,"0,01",5,76,"6,58%","0,12","0,59","63,64%","72,73%","0,00",0,0,"0,00%","7,82"
darth vader juguete,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Personajes - Star Wars,USD,"0,01",5,38,"13,16%","0,13","0,65","32,00%","48,00%","0,00",0,0,"0,00%","17,02"
jurassic world juguetes,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Personajes - Jurassic World,USD,"0,01",5,26,"19,23%","0,27","1,35","23,08%","46,15%","0,00",0,0,"0,00%","51,77"
juegos de mesa niños,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Juegos de caja,USD,"0,01",5,136,"3,68%","0,16","0,82","31,51%","73,97%","0,00",0,0,"0,00%","6,00"
pikachu juguetes,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Personajes - Pokémon,USD,"0,01",5,95,"5,26%","0,18","0,92","54,55%","69,70%","0,00",0,0,"0,00%","9,65"
sillas bebe comer,Apto,,Concordancia amplia,Search | Primera infancia,Alimentación / Descanso,USD,"0,01",5,101,"4,95%","0,16","0,78","5,36%","69,64%","0,00",0,0,"0,00%","7,72"
comprar material de papeleria,Apto,,Concordancia amplia,Search | Brand | La papelaria,La papelaria,USD,"0,01",5,92,"5,43%","0,04","0,19","30,77%","61,54%","0,00",0,0,"0,00%","2,07"
tienda de didacticos,Apto,,Concordancia amplia,Search | Genérica | Arte,Set / Kits de arte,USD,"0,01",5,77,"6,49%","0,39","1,93","51,11%","75,56%","0,00",0,0,"0,00%","25,09"
juguetes educativos,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",4,53,"7,55%","0,18","0,74","29,17%","83,33%","0,00",0,0,"0,00%","13,93"
tienda de juguetes cerca de mi,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",4,52,"7,69%","0,10","0,41","20,00%","80,00%","0,00",0,0,"0,00%","7,96"
juguetes minecraft,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Personajes - Minecraft,USD,"0,01",4,15,"26,67%","0,23","0,90","55,56%","88,89%","0,00",0,0,"0,00%","60,16"
kit de pinturas para dibujar,Apto,,Concordancia amplia,Search | Genérica | Arte,Pinturas (acrílico y óleo),USD,"0,01",4,66,"6,06%","0,23","0,93","43,24%","83,78%","0,00",0,0,"0,00%","14,06"
tabla de dibujo 1 4,Apto,,Concordancia amplia,Search | Genérica | Arte,Pinturas (acrílico y óleo),USD,"0,01",4,37,"10,81%","0,22","0,87","50,00%","70,83%","0,00",0,0,"0,00%","23,58"
juegos de cartas,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Juegos de caja,USD,"0,01",4,81,"4,94%","0,19","0,75","25,00%","43,75%","0,00",0,0,"0,00%","9,22"
juegos de mesa uruguay,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Juegos de caja,USD,"0,01",4,21,"19,05%","0,07","0,29","0,00%","66,67%","0,00",0,0,"0,00%","14,04"
muñeco stitch,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Personajes - Stitch,USD,"0,01",4,35,"11,43%","0,07","0,27","33,33%","75,00%","0,00",0,0,"0,00%","7,75"
juguetes barbie,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Personajes - Barbie,USD,"0,01",4,12,"33,33%","0,04","0,17","80,00%","80,00%","0,00",0,0,"0,00%","13,82"
joystick ps5,Apto,,Concordancia amplia,Search | Genérico | Tecnología,Gaming,USD,"0,01",4,22,"18,18%","0,19","0,76","21,05%","68,42%","0,00",0,0,"0,00%","34,73"
articulos de papeleria para oficina,Apto,,Concordancia amplia,Search | Brand | La papelaria,La papelaria,USD,"0,01",4,48,"8,33%","0,12","0,46","40,00%","75,00%","0,00",0,0,"0,00%","9,63"
venta de articulos de oficina,Apto,,Concordancia amplia,Search | Brand | La papelaria,La papelaria,USD,"0,01",4,66,"6,06%","0,08","0,32","7,41%","51,85%","0,00",0,0,"0,00%","4,90"
papeleria material de oficina,Apto,,Concordancia amplia,Search | Brand | La papelaria,La papelaria,USD,"0,01",4,111,"3,60%","0,11","0,43","38,10%","61,90%","0,00",0,0,"0,00%","3,89"
material de oficina on line,Apto,,Concordancia amplia,Search | Brand | La papelaria,La papelaria,USD,"0,01",4,75,"5,33%","0,03","0,12","24,00%","64,00%","0,00",0,0,"0,00%","1,66"
cartuchos de tinta hp,Apto,,Concordancia amplia,Search | Genérico | Tecnología,Impresion,USD,"0,01",4,64,"6,25%","0,16","0,62","29,55%","86,36%","0,00",0,0,"0,00%","9,70"
jugueterias,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",3,35,"8,57%","0,21","0,64","16,67%","58,33%","0,00",0,0,"0,00%","18,32"
juguete para,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",3,25,"12,00%","0,11","0,32","41,67%","83,33%","0,00",0,0,"0,00%","12,86"
juguetes para niñas de un año,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",3,19,"15,79%","0,19","0,57","53,85%","76,92%","0,00",0,0,"0,00%","29,78"
set de dibujo,Apto,,Concordancia amplia,Search | Genérica | Arte,Pinturas (acrílico y óleo),USD,"0,01",3,32,"9,38%","0,21","0,64","42,86%","66,67%","0,00",0,0,"0,00%","19,85"
dino juguetes,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Personajes - Jurassic World,USD,"0,01",3,131,"2,29%","0,03","0,09","42,11%","78,95%","0,00",0,0,"0,00%","0,72"
contrarreloj juego,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Juegos de caja,USD,"0,01",3,18,"16,67%","0,44","1,31","41,67%","83,33%","0,00",0,0,"0,00%","72,71"
silla de bebe para comer,Apto,,Concordancia amplia,Search | Primera infancia,Alimentación / Descanso,USD,"0,01",3,128,"2,34%","0,10","0,29","7,22%","67,01%","0,00",0,0,"0,00%","2,24"
juguetes superman,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Personajes - DC Comics,USD,"0,01",3,37,"8,11%","0,13","0,38","35,00%","80,00%","0,00",0,0,"0,00%","10,27"
productos de papeleria para oficina,Apto,,Concordancia amplia,Search | Brand | La papelaria,La papelaria,USD,"0,01",3,36,"8,33%","0,18","0,55","43,75%","68,75%","0,00",0,0,"0,00%","15,15"
lápices de dibujo,Apto,,Concordancia amplia,Search | Genérica | Arte,Dibujo / Marcadores,USD,"0,01",3,84,"3,57%","0,29","0,88","47,06%","70,59%","0,00",0,0,"0,00%","10,48"
impresora epson,Apto,,Concordancia amplia,Search | Genérico | Tecnología,Impresion,USD,"0,01",3,27,"11,11%","0,16","0,47","11,76%","82,35%","0,00",0,0,"0,00%","17,38"
bastidores para pintar,Apto,,Concordancia amplia,Search | Genérica | Arte,Soportes / Caballetes,USD,"0,01",2,36,"5,56%","0,27","0,55","59,09%","77,27%","0,00",0,0,"0,00%","15,27"
caballete para pintar,Apto,,Concordancia amplia,Search | Genérica | Arte,Soportes / Caballetes,USD,"0,01",2,18,"11,11%","0,24","0,48","37,50%","56,25%","0,00",0,0,"0,00%","26,41"
juguetes para armar,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",2,47,"4,26%","0,45","0,90","36,36%","86,36%","0,00",0,0,"0,00%","19,09"
jugueterias en once,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",2,11,"18,18%","0,04","0,08","50,00%","75,00%","0,00",0,0,"0,00%","7,32"
quiero juguetes,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",2,103,"1,94%","0,21","0,42","27,59%","75,86%","0,00",0,0,"0,00%","4,06"
juguetes didácticos,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",2,20,"10,00%","0,10","0,20","30,00%","90,00%","0,00",0,0,"0,00%","9,95"
pintura oleo,Apto,,Concordancia amplia,Search | Genérica | Arte,Pinturas (acrílico y óleo),USD,"0,01",2,71,"2,82%","0,12","0,25","37,84%","62,16%","0,00",0,0,"0,00%","3,48"
pintura arte dibujo,Apto,,Concordancia amplia,Search | Genérica | Arte,Pinturas (acrílico y óleo),USD,"0,01",2,39,"5,13%","0,07","0,14","44,44%","66,67%","0,00",0,0,"0,00%","3,56"
dixit juego,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Juegos de caja,USD,"0,01",2,9,"22,22%","0,56","1,12","66,67%","83,33%","0,00",0,0,"0,00%","124,93"
catan juego,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Juegos de caja,USD,"0,01",2,15,"13,33%","0,17","0,34","60,00%","80,00%","0,00",0,0,"0,00%","22,47"
figura superman,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Personajes - DC Comics,USD,"0,01",2,31,"6,45%","0,25","0,51","0,00%","63,64%","0,00",0,0,"0,00%","16,41"
didacticos de madera,Apto,,Concordancia amplia,Search | Primera infancia,Estimulación,USD,"0,01",2,17,"11,76%","0,17","0,34","33,33%","58,33%","0,00",0,0,"0,00%","19,79"
play 5,Apto,,Concordancia amplia,Search | Genérico | Tecnología,Gaming,USD,"0,01",2,22,"9,09%","0,22","0,45","16,67%","66,67%","0,00",0,0,"0,00%","20,40"
control ps5,Apto,,Concordancia amplia,Search | Genérico | Tecnología,Gaming,USD,"0,01",2,11,"18,18%","0,18","0,36","33,33%","88,89%","0,00",0,0,"0,00%","32,44"
accesorios de papeleria para oficina,Apto,,Concordancia amplia,Search | Brand | La papelaria,La papelaria,USD,"0,01",2,16,"12,50%","0,16","0,32","16,67%","66,67%","0,00",0,0,"0,00%","20,26"
precios de materiales de papeleria,Apto,,Concordancia amplia,Search | Brand | La papelaria,La papelaria,USD,"0,01",2,37,"5,41%","0,11","0,22","42,86%","71,43%","0,00",0,0,"0,00%","5,95"
precio de productos de papeleria,Apto,,Concordancia amplia,Search | Brand | La papelaria,La papelaria,USD,"0,01",2,32,"6,25%","0,04","0,09","23,53%","70,59%","0,00",0,0,"0,00%","2,81"
articulos de papeleria oficina,Apto,,Concordancia amplia,Search | Brand | La papelaria,La papelaria,USD,"0,01",2,83,"2,41%","0,01","0,02","0,00%","28,57%","0,00",0,0,"0,00%","0,22"
accesorios para computadora,Apto,,Concordancia amplia,Search | Genérico | Tecnología,Accesorios,USD,"0,01",2,15,"13,33%","0,14","0,28","50,00%","87,50%","0,00",0,0,"0,00%","18,57"
precio de parlantes,Apto,,Concordancia amplia,Search | Genérico | Tecnología,Accesorios,USD,"0,01",2,2,"100,00%","0,07","0,13","100,00%","100,00%","0,00",0,0,"0,00%","66,07"
juegos didacticos,Apto,,Concordancia amplia,Search | Genérica | Arte,Set / Kits de arte,USD,"0,01",2,42,"4,76%","0,14","0,28","37,93%","79,31%","0,00",0,0,"0,00%","6,74"
posca,Apto,,Concordancia amplia,Search | Genérica | Arte,Dibujo / Marcadores,USD,"0,01",2,19,"10,53%","0,28","0,56","66,67%","83,33%","0,00",0,0,"0,00%","29,71"
marcadores acrílicos,Apto,,Concordancia amplia,Search | Genérica | Arte,Dibujo / Marcadores,USD,"0,01",2,45,"4,44%","0,18","0,36","56,25%","93,75%","0,00",0,0,"0,00%","8,03"
juguetes disney,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Personajes - Disney,USD,"0,01",2,8,"25,00%","0,02","0,04","100,00%","100,00%","0,00",0,0,"0,00%","5,37"
juguete bebe,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",1,44,"2,27%","0,46","0,46","38,89%","83,33%","0,00",0,0,"0,00%","10,44"
tienda de peluches,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",1,34,"2,94%","0,23","0,23","28,57%","71,43%","0,00",0,0,"0,00%","6,91"
juguetes con descuento,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",1,35,"2,86%","0,03","0,03","25,00%","62,50%","0,00",0,0,"0,00%","0,89"
juguetes para niños 3 años,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",1,20,"5,00%","0,05","0,05","33,33%","100,00%","0,00",0,0,"0,00%","2,42"
muñecas grandes para niñas,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",1,7,"14,29%","0,03","0,03","33,33%","100,00%","0,00",0,0,"0,00%","4,15"
juguetes en linea,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",1,6,"16,67%","0,15","0,15","100,00%","100,00%","0,00",0,0,"0,00%","25,65"
fotos de juguetes,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",1,1,"100,00%","0,07","0,07","100,00%","100,00%","0,00",0,0,"0,00%","70,00"
juguetes baratos outlet,Apto,,Concordancia amplia,Search | Genérico | Juguetes,Genérico,USD,"0,01",1,8,"12,50%","0,10","0,10","0,00%","50,00%","0,00",0,0,"0,00%","12,05"
